,School,Postcode,Nearest Hospital,Type,Hopsital Address,Distance (miles)
368,Urquhart Park Primary School,3350,"Queen Elizabeth Centre, The (Ballarat QEC)",Public,102 Ascot Street Ascot VIC 3350,0.6
757,Valkstone Primary School,3165,Monash Medical Centre (Moorabbin),Public,823-865 Centre Road Centre VIC 3165,0.55
757,Valkstone Primary School,3165,Bentleigh Surgicentre,Private,157 Jasper Road Jasper VIC 3204,0.95
140,Vermont Primary School,3133,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,1.9
140,Vermont Primary School,3133,Vermont Private Hospital,Private,645-647 Burwood Hwy Whitehorse VIC 3133,1.49
1397,Vermont Secondary College,3133,Vermont Private Hospital,Private,645-647 Burwood Hwy Whitehorse VIC 3133,1.0
1397,Vermont Secondary College,3133,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,1.48
878,Vermont South Special School,3133,Vermont Private Hospital,Private,645-647 Burwood Hwy Whitehorse VIC 3133,1.16
878,Vermont South Special School,3133,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,0.91
951,Verney Road School,3630,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,0.61
951,Verney Road School,3630,Shepparton Hospital,Public,2-48 Graham Street Shepparton VIC 3630,0.69
898,Victoria Road Primary School,3140,Yarra Ranges Health,Public,25 Market Street Lilydale VIC 3140,0.84
898,Victoria Road Primary School,3140,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,4.53
1520,Victoria University Secondary College,3021,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,2.15
1520,Victoria University Secondary College,3021,St Albans Endoscopy Centre,Private,328-330 Station Road Brimbank VIC 3021,0.43
582,Victorian College For The Deaf,3004,Vision Laser St Kilda Road,Private,600-602 Whitehorse Road Whitehorse VIC 3004,0.12
582,Victorian College For The Deaf,3004,The Alfred,Public,55 Commercial Road Melbourne VIC 3004,0.29
1267,Victorian College Of The Arts Secondary School,3006,Eye and Ear on the Park,Public,2 Gordon Place Gordon VIC 3002,1.32
1267,Victorian College Of The Arts Secondary School,3006,Albert Road Clinic,Private,31-33 Albert Road Albert VIC 3004,0.58
2127,Victory Christian College,3550,St John of God Bendigo Hospital,Private,133-145 Lily Street Lily VIC 3550,3.09
2127,Victory Christian College,3550,Bendigo Health (Anne Caudle),Public,100A Barnard Street Bendigo VIC 3550,2.85
2118,Victory Lutheran College,3690,Albury Wodonga Health (Wodonga),Public,53-81 Vermont Street Wodonga VIC 3690,2.18
2118,Victory Lutheran College,3690,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,2.29
1463,Viewbank College,3084,Mercy Hospital for Women,Public,163 Studley Road Heidelberg VIC 3084,1.75
1463,Viewbank College,3084,Heidelberg Endoscopy and Day Surgery Centre,Private,177-179 Northern Road Banyule VIC 3081,1.62
806,Viewbank Primary School,3084,Heidelberg Endoscopy and Day Surgery Centre,Private,177-179 Northern Road Banyule VIC 3081,1.66
806,Viewbank Primary School,3084,Mercy Hospital for Women,Public,163 Studley Road Heidelberg VIC 3084,2.18
2261,Village High School,3992,Bass Coast Health,Public,235 Graham Street Wonthaggi VIC 3995,5.62
2261,Village High School,3992,Peninsula Private Hospital,Private,525 Mcclelland Drive Frankston VIC 3910,33.16
2052,Village School,3136,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,3.14
2052,Village School,3136,Yarra Ranges Health,Public,25 Market Street Lilydale VIC 3140,3.15
1245,Virtual School Victoria,3071,North Eastern Rehabilitation Centre,Private,134-146 Ford Street Banyule VIC 3079,0.32
1245,Virtual School Victoria,3071,Heidelberg Repatriation Hospital,Public,300 Waterdale Road Waterdale VIC 3081,1.26
1098,Waaia Yalca South Primary School,3637,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,21.72
1098,Waaia Yalca South Primary School,3637,Numurkah District Health Service,Public,2 Katamatite-nathalia Road Numurkah VIC 3636,7.26
77,Wahgunyah Primary School,3687,Wangaratta Private Hospital,Private,134-150 Templeton Street Wangaratta VIC 3677,23.63
77,Wahgunyah Primary School,3687,Yarrawonga Health,Public,33 Piper Street Yarrawonga VIC 3730,21.91
501,Wales Street Primary School,3071,Royal Talbot Rehabilitation Centre,Public,1 Yarra Boulevard Kew VIC 3101,2.08
501,Wales Street Primary School,3071,Panch Day Surgery Centre,Private,84-90 Hotham Street Darebin VIC 3072,1.02
83,Wallan Primary School,3756,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,16.56
83,Wallan Primary School,3756,Kilmore and District Hospital,Public,1 Anderson Road Kilmore VIC 3764,7.62
1449,Wallan Secondary College,3756,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,16.05
1449,Wallan Secondary College,3756,Kilmore and District Hospital,Public,1 Anderson Road Kilmore VIC 3764,8.14
897,Wallarano Primary School,3174,"Queen Elizabeth Centre, The",Public,37-53 Thomas Street Thomas VIC 3174,0.65
897,Wallarano Primary School,3174,Noble Park Endoscopy Centre,Private,1304 Heatherton Road Heatherton VIC 3174,1.34
980,Wallaroo Primary School,3915,Beleura Private Hospital,Private,925 Nepean Highway Nepean VIC 3931,8.36
980,Wallaroo Primary School,3915,The Mornington Centre,Public,24 Separation Street Mornington VIC 3931,8.53
527,Wallington Primary School,3222,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,8.97
527,Wallington Primary School,3222,The Geelong Clinic,Private,94-102 Townsend Road Townsend VIC 3219,6.66
453,Walwa Primary School,3709,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,49.41
453,Walwa Primary School,3709,Upper Murray Health and Community Services (Corryong),Public,16-20 Kiell Street Corryong VIC 3707,18.79
33,Wandiligong Primary School,3744,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,43.86
33,Wandiligong Primary School,3744,Alpine Health (Bright),Public,36-42 Cobden Street Bright VIC 3741,2.64
595,Wandin North Primary School,3139,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,7.15
595,Wandin North Primary School,3139,Yarra Ranges Health,Public,25 Market Street Lilydale VIC 3140,3.32
145,Wandin Yallock Primary School,3139,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,8.16
145,Wandin Yallock Primary School,3139,Yarra Ranges Health,Public,25 Market Street Lilydale VIC 3140,5.18
203,Wandong Primary School,3758,Kilmore and District Hospital,Public,1 Anderson Road Kilmore VIC 3764,5.57
203,Wandong Primary School,3758,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,20.01
995,Wangaratta District Specialist School,3677,Northeast Health Wangaratta,Public,35-47 Green Street Wangaratta VIC 3677,1.07
995,Wangaratta District Specialist School,3677,Wangaratta Private Hospital,Private,134-150 Templeton Street Wangaratta VIC 3677,0.77
1400,Wangaratta High School,3677,Wangaratta Private Hospital,Private,134-150 Templeton Street Wangaratta VIC 3677,0.39
1400,Wangaratta High School,3677,Northeast Health Wangaratta,Public,35-47 Green Street Wangaratta VIC 3677,0.74
76,Wangaratta Primary School,3677,Wangaratta Private Hospital,Private,134-150 Templeton Street Wangaratta VIC 3677,1.05
76,Wangaratta Primary School,3677,Northeast Health Wangaratta,Public,35-47 Green Street Wangaratta VIC 3677,0.85
691,Wangaratta West Primary School,3677,Wangaratta Private Hospital,Private,134-150 Templeton Street Wangaratta VIC 3677,0.55
691,Wangaratta West Primary School,3677,Northeast Health Wangaratta,Public,35-47 Green Street Wangaratta VIC 3677,0.55
1401,Wantirna College,3152,Knox Private Hospital,Private,262 Mountain Highway Knox VIC 3152,0.61
1401,Wantirna College,3152,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,0.68
576,Wantirna Primary School,3152,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,0.77
576,Wantirna Primary School,3152,Knox Private Hospital,Private,262 Mountain Highway Knox VIC 3152,0.79
687,Wantirna South Primary School,3152,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,1.79
687,Wantirna South Primary School,3152,Knox Private Hospital,Private,262 Mountain Highway Knox VIC 3152,1.71
946,Waratah Special Developmental School,3081,Heidelberg Repatriation Hospital,Public,300 Waterdale Road Waterdale VIC 3081,0.36
946,Waratah Special Developmental School,3081,North Eastern Rehabilitation Centre,Private,134-146 Ford Street Banyule VIC 3079,0.72
248,Warburton Primary School,3799,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,22.9
248,Warburton Primary School,3799,Healesville and District Hospital,Public,377 Maroondah Highway Healesville VIC 3777,12.09
211,Warracknabeal Primary School,3393,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,109.75
211,Warracknabeal Primary School,3393,Rural Northwest Health (Warracknabeal),Public,18 Dimboola Road Warracknabeal VIC 3393,0.62
1402,Warracknabeal Secondary College,3393,Rural Northwest Health (Warracknabeal),Public,18 Dimboola Road Warracknabeal VIC 3393,0.8
1402,Warracknabeal Secondary College,3393,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,109.74
1044,Warracknabeal Special Developmental School,3393,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,109.78
1044,Warracknabeal Special Developmental School,3393,Rural Northwest Health (Warracknabeal),Public,18 Dimboola Road Warracknabeal VIC 3393,0.59
1042,Warragul & District Specialist School,3820,West Gippsland Healthcare Group (Warragul),Public,41 Landsborough Street Warragul VIC 3820,0.56
1042,Warragul & District Specialist School,3820,Neerim District Health Service,Private,29-39 Church Road Church VIC 3831,9.98
715,Warragul North Primary School,3820,West Gippsland Healthcare Group (Warragul),Public,41 Landsborough Street Warragul VIC 3820,1.83
715,Warragul North Primary School,3820,Neerim District Health Service,Private,29-39 Church Road Church VIC 3831,8.73
369,Warragul Primary School,3820,West Gippsland Healthcare Group (Warragul),Public,41 Landsborough Street Warragul VIC 3820,1.14
369,Warragul Primary School,3820,Neerim District Health Service,Private,29-39 Church Road Church VIC 3831,9.37
1474,Warragul Regional College,3820,Neerim District Health Service,Private,29-39 Church Road Church VIC 3831,9.99
1474,Warragul Regional College,3820,West Gippsland Healthcare Group (Warragul),Public,41 Landsborough Street Warragul VIC 3820,0.54
1403,Warrandyte High School,3113,Donvale Rehabilitation Hospital,Private,1119-1121 Doncaster Road Manningham VIC 3109,2.96
1403,Warrandyte High School,3113,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,5.62
4,Warrandyte Primary School,3113,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,4.98
4,Warrandyte Primary School,3113,Donvale Rehabilitation Hospital,Private,1119-1121 Doncaster Road Manningham VIC 3109,4.01
540,Warranwood Primary School,3134,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,2.3
540,Warranwood Primary School,3134,Ringwood Radiation Oncology Centre,Private,36 Frankston-flinders Road Maroondah VIC 3135,2.55
274,Warrenheip Primary School,3352,St John of God Ballarat Hospital,Private,101 Drummond Street Ballarat VIC 3350,4.53
274,Warrenheip Primary School,3352,Ballarat Hospital,Public,1 Drummond Street Drummond VIC 3350,4.52
957,Warringa Park School,3029,Werribee Endoscopy Centre,Private,179 Princes Highway Wyndham VIC 3030,0.45
957,Warringa Park School,3029,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,0.65
1462,Warrnambool College,3280,South West Healthcare (Warrnambool),Public,25 Ryot Street Warrnambool VIC 3280,1.48
1462,Warrnambool College,3280,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,1.17
754,Warrnambool East Primary School,3280,South West Regional Cancer Centre,Private,26 Ryot Street Warrnambool VIC 3280,1.52
754,Warrnambool East Primary School,3280,South West Healthcare (Warrnambool),Public,25 Ryot Street Warrnambool VIC 3280,1.59
306,Warrnambool Primary School,3280,South West Healthcare (Warrnambool),Public,25 Ryot Street Warrnambool VIC 3280,0.57
306,Warrnambool Primary School,3280,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,0.45
21,Warrnambool West Primary School,3280,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,0.76
21,Warrnambool West Primary School,3280,South West Healthcare (Warrnambool),Public,25 Ryot Street Warrnambool VIC 3280,1.02
831,Watsonia Heights Primary School,3088,Diaverum Diamond Valley Dialysis Clinic,Private,15 Grimshaw Street Banyule VIC 3088,0.78
831,Watsonia Heights Primary School,3088,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,2.7
857,Watsonia North Primary School,3087,Victorian Gut Centre,Private,119 Plenty Road Whittlesea VIC 3083,1.15
857,Watsonia North Primary School,3087,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,1.41
781,Watsonia Primary School,3087,Diaverum Diamond Valley Dialysis Clinic,Private,15 Grimshaw Street Banyule VIC 3088,1.14
781,Watsonia Primary School,3087,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,1.81
628,Wattle Glen Primary School,3096,Diaverum Diamond Valley Dialysis Clinic,Private,15 Grimshaw Street Banyule VIC 3088,4.79
628,Wattle Glen Primary School,3096,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,7.32
590,Wattle Park Primary School,3125,Delmont Private Hospital,Private,298-308 Warrigal Road Boroondara VIC 3146,1.03
590,Wattle Park Primary School,3125,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,2.29
873,Wattle View Primary School,3156,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,2.5
873,Wattle View Primary School,3156,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,1.5
112,Waubra Primary School,3352,Beaufort & Skipton Health Service (Beaufort),Public,24-28 Havelock Street Beaufort VIC 3373,14.86
112,Waubra Primary School,3352,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,16.86
2006,Waverley Christian College,3152,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,2.28
2006,Waverley Christian College,3152,Vermont Private Hospital,Private,645-647 Burwood Hwy Whitehorse VIC 3133,1.72
922,Waverley Meadows Primary School,3150,The Victorian Rehabilitation Centre,Private,499 Springvale Road Monash VIC 3150,1.65
922,Waverley Meadows Primary School,3150,Monash Medical Centre (Clayton),Public,246 Clayton Road Clayton VIC 3168,3.4
1246,Wedderburn College,3518,Inglewood and Districts Health Service,Public,3 Hospital Street Inglewood VIC 3517,17.77
1246,Wedderburn College,3518,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,42.93
982,Wedge Park Primary School,3337,Melton Health,Public,195-209 Barries Road Barries VIC 3337,0.79
982,Wedge Park Primary School,3337,Sydenham Day Surgery,Private,566 Melton Highway Brimbank VIC 3037,11.27
952,Weeden Heights Primary School,3133,Vermont Private Hospital,Private,645-647 Burwood Hwy Whitehorse VIC 3133,1.2
952,Weeden Heights Primary School,3133,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,0.88
1270,Weeroona College Bendigo,3550,"Bendigo Hospital, The",Public,62 Lucan Street Bendigo VIC 3550,1.07
1270,Weeroona College Bendigo,3550,St John of God Bendigo Hospital,Private,133-145 Lily Street Lily VIC 3550,2.47
1404,Wellington Secondary College,3170,Springvale Endoscopy Centre and Day Hospital,Private,20 Balmoral Avenue Balmoral VIC 3171,1.5
1404,Wellington Secondary College,3170,"Queen Elizabeth Centre, The",Public,37-53 Thomas Street Thomas VIC 3174,2.65
1094,Welshpool and District Primary School,3966,South Gippsland Hospital (Foster),Public,83 Station Road Foster VIC 3960,12.17
1094,Welshpool and District Primary School,3966,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,31.08
759,Wembley Primary School,3013,Vision Day Surgery Footscray,Private,89 Paisley Street Maribyrnong VIC 3011,1.81
759,Wembley Primary School,3013,Tweddle Child and Family Health Service,Public,49-71 Adelaide Street Footscray VIC 3011,1.78
312,Wendouree Primary School,3355,Ballarat Hospital,Public,1 Drummond Street Drummond VIC 3350,1.71
312,Wendouree Primary School,3355,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,0.24
80,Werribee Primary School,3030,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,2.65
80,Werribee Primary School,3030,Werribee Endoscopy Centre,Private,179 Princes Highway Wyndham VIC 3030,1.9
1405,Werribee Secondary College,3030,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,2.15
1405,Werribee Secondary College,3030,Werribee Endoscopy Centre,Private,179 Princes Highway Wyndham VIC 3030,1.43
1242,Werrimull P-12 School,3496,Mildura Base Hospital,Private,216-240 Ontario Avenue Mildura VIC 3500,34.44
1242,Werrimull P-12 School,3496,Mildura Base Hospital,Public,216-240 Ontario Avenue Mildura VIC 3500,34.44
538,Wesburn Primary School,3799,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,19.81
